"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ko:K03475",0.354312266187384,-1.16255293375652,3.44348408866644,-0.33760949777083,0.735657483845498,NA
"ko:K07449",0.354312266187384,-1.16255293375652,3.44348408866644,-0.33760949777083,0.735657483845498,NA
"ko:K16263",0.354312266187384,-1.16255293375652,3.44348408866644,-0.33760949777083,0.735657483845498,NA
"ko:K22116",0.354312266187384,-1.16255293375652,3.44348408866644,-0.33760949777083,0.735657483845498,NA
"ko:K13745",5.67060366491394,0.427572804005515,1.27034192047458,0.336580881976861,0.7364328701114,0.851402625165069
"ko:K06023",15.4442067004741,-0.170702490504616,0.507803937598976,-0.336158264766005,0.736751523267491,0.85155797624289
"ko:K13924",115.784536384859,-0.143854844866608,0.428840563291013,-0.335450648051192,0.737285167238804,0.851961679872597
"ko:K15471",0.810871059847906,0.753622782834225,2.24768185083556,0.335288903344604,0.737407163623436,NA
"ko:K10810",0.356297704219378,-1.1535140085907,3.44385686861587,-0.334948301453164,0.737664085158103,NA
"ko:K21062",2.44808490875879,0.719266205672858,2.15110204473092,0.33437102969368,0.738099597541919,0.852689560060302
"ko:K05919",0.363117440630005,-1.14820728422719,3.44407678907508,-0.333386087055145,0.738842863974004,NA
"ko:K09847",0.363117440630005,-1.14820728422719,3.44407678907508,-0.333386087055145,0.738842863974004,NA
"ko:K07221",10.5537500661955,0.206820181037348,0.620549838927205,0.33328536736855,0.738918883754153,0.853253728338163
"ko:K07114",220.223550659064,-0.0903734105900448,0.271200605582358,-0.33323454568246,0.738957243196133,0.853253728338163
"ko:K01918",16.4947042305179,-0.184897150561981,0.557278042465007,-0.331786175791398,0.74005072367673,0.853789043392369
"ko:K07442",3.17996374080137,0.398072053498068,1.20149704662155,0.331313384928738,0.740407782004136,0.853789043392369
"ko:K03703",57.4611233209022,-0.123502226048606,0.373033191913957,-0.331075702446051,0.740587304299609,0.853789043392369
"ko:K04712",2.02093609065844,0.416600346128416,1.25908423600162,0.330875674729583,0.740738396784484,0.853789043392369
"ko:K07742",18.4293491573367,0.157294750764811,0.475397694673559,0.330869822313339,0.740742817603023,0.853789043392369
"ko:K18320",1.43381646083816,0.566920284258864,1.71345269982352,0.330864274407607,0.740747008407255,0.853789043392369
"ko:K22363",7.18333557499506,-0.255749242990125,0.772987881984596,-0.330858023716368,0.740751730094266,0.853789043392369
"ko:K09888",11.8395469308087,0.268377948348096,0.811635535701386,0.330663132086958,0.74089895347401,0.853789043392369
"ko:K15063",1.17665997428147,0.714776045041622,2.16200805008322,0.330607485487443,0.740940991297173,NA
