ko;RNA_PA_A_T1_insitu;RNA_PA_A_T1_plant;RNA_PA_A_T3_insitu;RNA_PA_A_T3_plant;RNA_SG_A_T1_insitu;RNA_SG_A_T1_plant;RNA_SG_A_T3_insitu;RNA_SG_A_T3_plant
ko:K07156;20;15;64;71;3;3;3;1
ko:K07157;112;71;16;50;15;15;8;2
ko:K07158;0;0;0;0;0;0;0;0
ko:K07159;9;6;3;9;2;2;0;0
ko:K07160;22;30;11;6;18;10;4;0
ko:K07161;141;69;86;138;15;14;19;23
ko:K07163;0;0;0;0;0;0;0;0
ko:K07164;79;78;92;128;20;25;9;15
ko:K07165;7;8;30;64;6;1;4;1
ko:K07166;3;0;0;0;0;3;2;0
ko:K07167;2;6;14;12;3;0;4;0
ko:K07168;14;8;4;0;7;4;3;1
ko:K07169;4;20;31;40;4;1;1;1
ko:K07171;58;34;22;42;2;2;1;2
ko:K07172;12;13;4;4;0;1;0;0
ko:K07173;2;0;1;4;0;1;4;1
ko:K07175;58;94;57;96;81;45;42;37
ko:K07176;0;0;0;0;0;0;0;0
ko:K07177;24;4;2;2;4;3;6;2
ko:K07178;55;38;18;13;9;8;5;6
ko:K07180;295;319;277;379;386;302;331;189
ko:K07181;0;0;0;0;0;0;0;0
ko:K07182;26;6;11;13;12;6;1;0
ko:K07183;0;0;0;1;0;1;6;0
ko:K07184;45;23;2;3;0;2;0;0
ko:K07186;0;0;0;1;0;0;0;0
ko:K07190;0;0;2;7;3;2;2;0
ko:K07192;236;201;125;197;40;60;31;19
ko:K07212;0;0;0;0;0;0;0;0
ko:K07213;69;33;17;58;17;3;0;0
ko:K07214;17;21;43;35;25;26;9;1
ko:K07215;2;1;0;0;0;0;0;0
ko:K07216;1;9;8;11;21;0;5;10
ko:K07217;140;93;69;41;60;103;140;18
ko:K07218;12;2;11;39;19;0;4;0
ko:K07219;0;4;3;27;2;0;0;0
ko:K07220;53;56;49;71;47;27;22;34
ko:K07221;25;25;8;18;8;14;2;4
ko:K07222;36;24;17;8;53;32;19;10
ko:K07223;21;11;5;10;2;1;0;0
ko:K07224;3;2;9;7;4;8;4;3
ko:K07225;0;0;0;0;1;2;0;0
ko:K07226;2;4;2;8;2;0;1;1
ko:K07227;0;0;0;0;0;0;0;0
ko:K07228;30;10;3;9;1;2;0;0
ko:K07229;0;0;0;0;0;0;0;0
ko:K07230;0;0;0;0;0;0;0;0
ko:K07231;2;0;0;1;2;0;0;0
ko:K07232;2;0;4;1;7;4;4;9
ko:K07233;28;21;9;23;15;3;4;3
ko:K07234;7;4;4;2;17;0;4;0
ko:K07235;6;7;2;0;0;5;0;0
ko:K07236;0;0;0;0;0;0;0;0
ko:K07237;0;0;0;0;0;0;0;0
ko:K07238;35;34;5;20;8;3;5;4
ko:K07239;0;0;0;4;17;0;0;4
ko:K07240;43;35;13;18;9;5;6;2
ko:K07241;31;19;8;14;8;1;8;2
ko:K07242;0;0;0;0;0;0;0;0
ko:K07243;49;35;20;37;10;27;6;13
ko:K07244;0;0;0;0;0;0;0;0
ko:K07245;61;25;18;33;6;7;6;5
ko:K07246;27;29;30;42;24;22;12;18
ko:K07248;15;2;32;19;2;7;1;2
ko:K07250;118;50;76;113;17;24;11;11
ko:K07251;11;8;10;3;3;5;0;4
ko:K07254;0;0;0;0;1;6;0;0
ko:K07255;1;0;0;0;1;0;0;0
ko:K07256;0;0;0;2;0;0;0;0
ko:K07257;7;0;2;7;2;0;0;1
ko:K07258;130;110;105;156;36;26;17;14
ko:K07259;140;98;36;95;9;30;20;13
ko:K07260;115;64;29;44;1;5;0;0
ko:K07261;9;10;6;26;2;4;5;3
ko:K07262;6;35;78;144;29;6;4;4
ko:K07263;408;410;397;624;148;175;177;116
ko:K07264;1;0;0;0;0;0;2;0
ko:K07265;17;8;14;13;2;0;0;0
ko:K07266;2;2;0;4;1;2;2;0
ko:K07267;13;8;3;7;0;0;6;2
ko:K07268;2;4;0;0;0;0;2;0
ko:K07270;2;0;2;2;2;0;0;0
ko:K07271;7;0;1;5;0;3;0;0
ko:K07272;0;0;0;0;0;0;0;0
ko:K07273;13;5;7;19;11;2;4;1
ko:K07274;2;3;0;0;1;1;0;2
ko:K07275;11;22;2;5;18;2;2;8
ko:K07276;8;11;1;7;2;0;9;2
ko:K07277;477;438;488;693;231;121;76;77
ko:K07278;45;44;20;27;7;10;4;3
ko:K07279;6;10;0;0;0;0;0;0
ko:K07280;0;2;2;0;0;0;0;0
ko:K07281;1;0;2;12;1;8;1;1
ko:K07282;92;61;45;92;10;15;4;8
ko:K07283;10;4;0;24;4;4;0;0
ko:K07284;393;258;27;44;12;12;0;1
ko:K07285;15;12;2;3;0;0;0;0
ko:K07286;0;0;0;0;0;0;1;0
ko:K07287;33;58;6;22;12;6;5;6
ko:K07288;1;0;0;2;0;0;0;0
ko:K07289;33;34;33;21;17;3;10;6
ko:K07290;6;15;17;14;0;4;7;6
ko:K07291;0;0;0;14;0;0;0;2
ko:K07300;15;14;1;0;10;7;3;8
ko:K07301;140;52;18;43;2;14;4;3
ko:K07302;48;19;50;110;18;33;29;20
ko:K07303;50;63;174;279;84;81;56;70
ko:K07304;303;232;146;167;92;66;60;30
ko:K07305;223;195;127;140;50;41;46;20
ko:K07306;0;0;0;0;0;0;2;0
ko:K07307;9;20;32;55;40;10;11;12
ko:K07308;0;0;0;0;0;0;0;0
ko:K07309;0;0;0;0;0;0;2;0
ko:K07310;0;0;0;0;0;0;2;0
ko:K07313;8;50;21;30;8;5;4;6
ko:K07315;204;134;169;226;58;56;56;32
ko:K07316;69;52;52;53;2;6;3;3
ko:K07317;22;10;4;5;0;0;1;0
ko:K07318;3;0;0;0;0;0;2;5
ko:K07319;10;7;6;3;0;0;1;0
ko:K07320;2;4;2;9;3;0;0;2
ko:K07321;26;24;8;15;0;0;0;0
ko:K07322;0;0;0;0;7;1;5;0
ko:K07323;65;133;23;39;27;13;11;2
ko:K07326;0;0;0;0;2;0;0;0
ko:K07329;0;0;0;0;0;0;0;0
ko:K07331;2;5;0;0;0;0;0;0
ko:K07332;12544;7630;8011;7688;11955;14224;20562;7576
ko:K07334;9;9;9;14;0;0;0;0
ko:K07335;267;160;100;110;57;69;34;40
ko:K07336;4;10;2;6;4;0;0;3
ko:K07337;38;40;25;34;9;8;2;4
ko:K07338;6;0;0;1;0;0;0;0
ko:K07339;1;5;2;8;0;0;0;1
ko:K07340;10;3;8;8;3;0;0;0
ko:K07341;29;16;5;15;2;1;2;2
ko:K07343;6;9;2;6;2;4;0;2
ko:K07344;1;2;2;4;0;0;0;0
ko:K07345;0;0;0;0;2;0;0;0
ko:K07346;47;47;9;56;3;0;0;2
ko:K07347;27;39;8;13;0;1;0;0
ko:K07357;1;3;4;5;2;2;0;0
ko:K07358;0;0;0;0;2;0;0;0
ko:K07386;224;291;44;72;101;60;40;16
ko:K07387;6;6;0;2;0;0;1;1
ko:K07389;0;0;0;0;0;0;0;0
ko:K07390;83;82;49;74;45;9;14;15
ko:K07391;117;53;31;41;12;8;10;0
ko:K07393;78;39;25;12;9;2;6;2
ko:K07394;30;26;2;7;0;2;2;0
ko:K07395;3;1;4;8;11;3;1;5
ko:K07396;2;0;0;2;3;0;0;2
ko:K07397;131;88;25;24;17;5;9;1
ko:K07398;1;0;0;0;0;4;0;0
ko:K07399;23;25;12;25;15;9;21;8
ko:K07400;148;101;53;51;4;3;9;2
ko:K07401;7;8;3;4;0;0;0;0
ko:K07402;65;55;31;62;31;29;20;20
ko:K07403;174;67;72;105;4;2;8;8
ko:K07404;19;12;55;49;5;10;7;7
ko:K07405;7;3;2;1;9;13;1;0
ko:K07406;125;54;61;27;13;8;4;5
ko:K07407;29;19;18;38;11;16;5;8
ko:K07408;0;0;0;2;0;0;0;0
ko:K07442;1;8;4;5;0;3;1;3
ko:K07443;13;5;2;5;0;3;0;0
ko:K07444;24;12;16;21;13;2;2;2
ko:K07445;20;10;15;16;2;0;0;0
ko:K07446;0;0;0;0;0;0;0;0
ko:K07447;41;24;11;38;10;11;7;8
ko:K07448;34;50;54;100;4;6;3;1
ko:K07449;2;4;0;0;0;0;0;0
ko:K07450;0;0;0;0;0;0;0;0
ko:K07451;38;10;5;6;4;7;3;4
ko:K07452;19;6;21;18;2;5;0;0
ko:K07453;0;0;2;0;0;0;0;0
ko:K07454;6;11;8;12;2;0;0;0
ko:K07455;4;2;6;4;5;8;1;0
ko:K07456;86;70;73;134;3;8;6;7
ko:K07457;0;2;0;0;0;2;0;0
ko:K07458;2;3;8;3;0;0;1;0
ko:K07459;19;40;15;6;0;0;0;0
ko:K07460;15;11;12;10;4;4;2;0
ko:K07461;7;10;15;16;0;0;0;0
ko:K07462;126;96;57;99;21;16;9;14
ko:K07463;0;0;0;0;4;5;2;0
ko:K07464;14;18;2;14;0;4;0;0
ko:K07465;15;10;21;9;4;10;6;1
ko:K07466;0;2;2;0;11;10;8;0
ko:K07467;0;2;0;2;1;0;0;0
ko:K07469;6;4;0;1;0;0;0;0
ko:K07470;0;0;0;0;0;0;0;0
ko:K07471;0;0;0;0;0;0;0;0
ko:K07473;2;3;3;4;0;0;0;2
ko:K07474;6;0;2;3;1;2;0;0
ko:K07477;8;1;7;9;0;1;2;0
ko:K07478;78;54;33;37;25;17;11;4
ko:K07479;1;0;0;0;4;1;0;0
ko:K07480;75;44;13;31;46;99;30;24
ko:K07481;112;84;26;35;32;33;23;15
ko:K07482;5;9;0;0;0;7;4;0
ko:K07483;148;85;44;66;15;23;14;6
ko:K07484;435;360;157;193;122;177;71;67
ko:K07485;75;43;15;14;5;4;1;2
ko:K07486;196;110;52;54;64;52;60;40
ko:K07487;40;15;22;23;13;14;11;4
ko:K07488;12;4;6;5;16;14;6;4
ko:K07489;0;0;0;0;0;0;0;0
ko:K07491;41;41;32;20;9;8;1;1
ko:K07492;195;94;93;76;30;32;15;8
ko:K07493;101;60;25;30;21;24;8;6
ko:K07494;198;152;74;70;23;39;17;13
ko:K07495;42;18;11;14;0;0;2;1
ko:K07496;85;76;50;32;5;19;2;0
ko:K07497;533;344;195;232;95;87;53;26
ko:K07498;39;24;21;26;11;7;9;0
ko:K07499;19;16;5;3;2;1;7;1
ko:K07500;12544;7630;8011;7688;11950;14224;20561;7576
ko:K07501;20;14;7;28;8;1;0;1
ko:K07502;19;11;9;13;0;0;0;0
ko:K07503;15;6;8;9;1;0;4;1
ko:K07504;21;5;3;6;1;0;0;0
ko:K07505;0;0;0;0;0;0;0;0
ko:K07506;32;15;3;2;8;6;6;9
ko:K07507;55;25;23;31;9;4;7;0
ko:K07508;25;39;15;33;0;2;2;0
ko:K07516;242;306;89;125;233;80;48;38
ko:K07518;46;48;0;0;44;0;2;2
ko:K07533;181;103;37;34;18;19;16;3
ko:K07534;0;0;0;0;0;0;0;0
ko:K07535;7;13;14;5;17;11;6;2
ko:K07536;0;0;0;9;0;2;3;2
ko:K07537;0;0;8;9;14;0;2;4
ko:K07538;2;0;0;0;62;0;0;2
ko:K07539;0;0;0;0;70;0;0;2
ko:K07540;0;0;0;0;2;0;0;0
ko:K07543;0;0;0;0;0;0;0;1
ko:K07544;5;1;0;0;2;3;0;0
ko:K07545;0;0;0;0;0;0;0;0
ko:K07546;0;0;0;0;0;0;0;0
ko:K07547;0;0;0;0;0;0;0;0
ko:K07548;0;0;0;0;0;0;0;0
ko:K07549;0;0;0;0;0;0;0;0
ko:K07550;0;0;0;3;2;0;0;0
ko:K07552;10;17;14;16;9;16;6;6
ko:K07558;2;0;0;0;2;0;1;0
ko:K07559;4;8;2;4;3;6;0;2
ko:K07560;19;14;18;21;5;1;0;0
ko:K07561;0;0;0;0;4;7;5;1
ko:K07565;0;0;0;0;0;0;0;2
ko:K07566;45;45;29;41;7;4;3;1
ko:K07568;99;56;39;33;15;10;12;6
ko:K07569;0;0;0;0;0;0;3;0
ko:K07570;2;1;0;0;3;0;0;0
ko:K07571;29;23;9;22;10;7;9;8
ko:K07572;0;3;2;0;6;5;4;0
ko:K07573;0;1;0;0;8;2;2;0
ko:K07574;7;18;5;18;4;0;5;4
ko:K07575;0;0;0;0;0;0;0;0
ko:K07576;137;62;16;57;18;18;7;9
ko:K07577;11;3;7;11;15;25;7;4
ko:K07578;0;0;6;29;0;0;0;0
ko:K07583;0;0;0;0;3;1;0;0
ko:K07584;0;0;0;0;0;0;0;0
ko:K07586;18;2;1;0;0;0;0;0
ko:K07588;106;76;68;69;18;21;15;9
ko:K07589;0;0;0;0;0;0;0;0
ko:K07590;0;0;0;0;0;0;0;0
ko:K07623;9;14;21;10;3;14;3;5
ko:K07636;126;95;88;114;28;15;11;8
ko:K07637;2;1;12;9;3;2;0;0
ko:K07638;6;4;19;27;14;2;2;2
ko:K07639;0;0;0;0;2;1;1;0
ko:K07640;0;0;0;2;0;2;4;0
ko:K07641;8;4;2;2;0;2;0;0
ko:K07642;45;20;16;20;0;1;2;0
ko:K07643;0;0;0;0;0;0;0;0
ko:K07644;18;6;10;14;9;1;4;0
ko:K07645;6;6;4;4;0;3;4;4
ko:K07646;9;0;5;7;3;2;6;2
ko:K07647;7;2;2;4;0;0;0;0
ko:K07648;5;6;3;0;1;1;0;0
ko:K07649;18;9;11;17;5;2;3;2
ko:K07650;0;0;0;0;0;0;0;0
ko:K07651;0;0;39;67;0;0;0;0
ko:K07652;0;2;0;0;0;0;0;0
ko:K07653;6;2;4;2;2;2;2;0
ko:K07654;87;38;11;13;9;7;7;9
ko:K07655;4;0;0;2;0;0;0;0
ko:K07656;0;0;0;0;0;0;0;0
ko:K07657;53;32;31;51;8;9;7;7
ko:K07658;69;50;46;41;9;9;10;1
ko:K07659;8;14;33;69;29;22;17;9
ko:K07660;45;54;6;7;12;5;2;0
ko:K07661;0;0;0;0;0;0;0;0
ko:K07662;1;0;4;2;1;1;0;1
ko:K07663;3;2;3;5;0;0;0;0
ko:K07664;0;2;2;2;2;0;0;2
ko:K07665;10;2;13;19;7;7;7;0
ko:K07666;1;10;8;13;10;1;0;4
ko:K07667;37;30;16;33;4;19;7;1
ko:K07668;34;20;39;44;5;5;4;2
ko:K07669;50;34;7;8;5;6;2;1
ko:K07670;18;6;17;18;8;14;6;9
ko:K07671;1;1;4;3;0;0;0;0
ko:K07672;11;5;2;1;3;4;2;0
ko:K07673;12;11;7;16;2;1;0;0
ko:K07675;60;39;19;38;32;6;2;9
ko:K07676;13;2;0;5;2;0;0;0
ko:K07677;2;0;0;0;0;0;0;0
ko:K07678;56;40;3;7;7;2;7;1
ko:K07679;49;25;12;4;4;2;0;3
ko:K07680;2;0;0;0;0;0;0;0
ko:K07681;0;0;0;0;0;0;0;0
ko:K07682;0;0;2;2;4;8;0;2
ko:K07683;1;0;2;4;10;4;0;3
ko:K07684;25;16;28;59;33;21;18;12
ko:K07685;1;0;1;0;1;1;2;1
ko:K07686;0;0;1;1;0;0;0;0
ko:K07687;0;0;0;0;0;0;0;0
ko:K07688;0;0;0;0;2;0;0;0
ko:K07689;19;10;5;1;6;7;1;2
ko:K07690;0;0;0;0;0;0;0;0
ko:K07692;5;6;0;1;0;1;0;0
ko:K07693;4;1;6;11;5;7;4;1
ko:K07694;0;0;0;0;0;0;0;0
ko:K07695;0;0;0;4;0;0;0;0
ko:K07696;4;4;2;0;0;0;0;0
ko:K07697;0;0;0;0;0;0;0;0
ko:K07698;0;0;0;0;0;0;0;0
ko:K07699;1;2;0;0;0;0;0;0
ko:K07700;0;0;0;0;0;0;0;0
ko:K07704;0;0;2;1;0;0;0;0
ko:K07705;0;1;8;37;4;2;1;2
ko:K07706;0;0;0;0;0;0;0;0
ko:K07707;0;0;0;0;0;0;0;0
ko:K07708;14;15;47;60;5;3;5;4
ko:K07709;13;11;38;46;1;8;5;0
ko:K07710;4;5;6;8;3;2;2;1
ko:K07711;17;9;17;18;4;0;2;0
ko:K07712;59;51;72;136;15;20;22;15
ko:K07713;100;103;137;199;36;48;104;47
ko:K07714;59;84;89;137;18;24;42;21
ko:K07715;8;19;12;38;6;2;13;8
ko:K07716;23;32;43;61;44;55;44;23
ko:K07717;0;0;12;9;0;0;2;0
ko:K07718;0;0;0;0;0;0;0;0
ko:K07719;2;0;5;6;0;0;0;0
ko:K07720;6;4;0;3;3;1;0;0
ko:K07721;0;0;0;0;0;0;0;0
ko:K07722;1;1;5;0;2;3;0;0
ko:K07723;9;7;2;2;0;0;0;0
ko:K07724;7;2;0;0;0;0;0;0
ko:K07726;8;21;7;13;2;2;0;0
ko:K07727;4;3;9;15;0;0;3;1
ko:K07728;0;0;0;0;0;0;0;0
ko:K07729;19;9;2;2;1;1;2;2
ko:K07730;0;0;0;0;0;0;0;0
ko:K07731;0;0;0;0;0;0;0;0
ko:K07732;0;3;0;0;1;0;2;0
ko:K07733;3;3;0;5;10;0;0;0
ko:K07734;6;8;6;2;2;3;0;0
ko:K07735;48;41;28;39;32;25;17;8
ko:K07736;387;327;377;434;279;324;266;199
ko:K07738;95;57;43;43;22;22;18;7
ko:K07739;6;2;0;0;0;0;0;0
ko:K07740;0;0;0;0;6;2;0;0
ko:K07741;0;0;0;0;0;0;0;0
ko:K07742;38;47;16;32;18;10;16;4
ko:K07743;1;6;0;0;0;0;0;0
ko:K07744;0;0;0;0;0;0;0;0
ko:K07745;0;0;0;0;0;0;0;0
ko:K07746;8;3;14;33;2;4;0;3
ko:K07749;102;36;29;66;112;47;42;33
ko:K07752;0;0;0;1;0;0;0;0
ko:K07755;161;94;62;108;21;6;3;6
ko:K07768;30;28;8;12;8;8;4;2
ko:K07769;0;2;0;0;0;0;0;0
ko:K07771;0;0;0;0;0;0;0;0
ko:K07772;0;0;0;0;0;0;0;0
ko:K07773;0;4;0;1;0;0;0;0
ko:K07774;1;7;2;9;4;1;0;0
ko:K07775;2;0;6;9;4;0;0;5
ko:K07776;42;26;16;12;2;1;3;4
ko:K07777;14;13;0;5;2;0;0;0
ko:K07778;108;49;16;13;4;9;7;3
ko:K07782;2;12;28;44;20;8;1;3
ko:K07783;0;0;4;11;2;0;0;0
ko:K07784;0;0;0;0;0;0;0;0
ko:K07785;4;2;0;4;0;0;0;0
ko:K07786;0;0;0;0;0;0;0;0
ko:K07787;138;159;57;119;52;6;8;5
ko:K07788;3;2;6;17;30;13;18;6
ko:K07789;2;2;8;16;18;13;13;6
ko:K07790;0;0;2;0;0;0;0;0
ko:K07791;0;0;0;0;5;0;0;0
ko:K07792;0;0;0;0;7;0;0;0
ko:K07793;61;42;32;53;72;33;37;26
ko:K07794;23;4;2;5;8;4;2;4
ko:K07795;115;78;50;67;67;39;41;18
ko:K07798;75;108;27;39;48;1;3;4
ko:K07799;6;11;15;19;13;5;11;4
ko:K07803;0;0;0;0;0;0;0;0
ko:K07804;0;2;0;0;0;0;0;0
ko:K07806;3;2;9;10;2;0;0;0
ko:K07807;0;0;0;0;0;0;0;0
ko:K07810;13;15;0;0;0;0;0;0
ko:K07812;2;2;1;3;2;0;1;3
ko:K07813;0;0;0;0;0;0;0;0
ko:K07814;36;33;35;52;25;4;7;8
ko:K07816;2;2;12;13;0;0;0;0
ko:K07823;3;0;2;12;5;1;4;4
ko:K07862;0;0;0;0;0;0;0;0
ko:K07889;0;0;1;0;0;0;0;0
ko:K07978;1;1;0;0;0;2;0;0
ko:K07979;63;47;12;25;14;4;4;4
ko:K08068;2;2;23;22;1;2;1;0
ko:K08070;114;70;17;21;7;2;2;4
ko:K08076;7;7;0;2;1;0;0;0
ko:K08077;0;0;0;0;0;0;0;0
ko:K08080;23;44;0;4;0;0;0;0
ko:K08081;4;9;4;8;0;0;0;0
ko:K08082;43;34;7;8;7;4;4;10
ko:K08083;3;9;2;15;9;2;2;8
ko:K08084;59;68;31;79;1;2;1;1
ko:K08085;1;12;2;9;1;0;0;0
ko:K08086;116;154;38;94;67;33;4;11
ko:K08087;0;0;0;0;0;0;0;0
ko:K08092;2;0;0;0;0;0;1;0
ko:K08093;0;2;2;10;4;2;0;0
ko:K08094;0;0;0;0;0;0;0;1
ko:K08095;0;0;0;0;0;0;1;0
ko:K08096;0;0;0;0;0;0;0;0
ko:K08097;3;6;18;19;6;3;4;1
ko:K08100;30;21;15;24;252;0;0;11
ko:K08137;0;0;0;0;0;0;0;0
ko:K08138;2;0;0;0;8;0;0;0
ko:K08139;6;4;0;0;16;13;5;4
ko:K08151;3;3;9;24;5;2;0;2
ko:K08152;0;0;0;0;0;0;2;0
ko:K08153;0;3;1;0;0;1;0;0
ko:K08154;0;0;0;0;0;0;0;0
ko:K08156;0;0;0;0;0;0;0;0
ko:K08159;0;0;0;0;0;0;0;0
ko:K08160;0;0;0;0;0;0;0;0
ko:K08161;6;2;3;4;0;0;0;0
ko:K08162;1;0;0;4;2;0;0;1
ko:K08166;10;11;0;0;0;0;0;0
ko:K08167;2;4;7;11;2;3;4;1
ko:K08168;15;7;0;2;0;1;0;2
ko:K08169;3;0;0;0;0;1;1;2
ko:K08170;0;1;0;0;0;0;0;0
ko:K08172;2;0;2;0;3;8;1;2
ko:K08173;15;7;0;0;1;4;6;6
ko:K08174;0;0;0;0;0;0;0;0
ko:K08177;71;47;15;20;38;42;39;12
ko:K08178;0;0;0;2;6;2;0;0
ko:K08191;14;12;6;11;11;10;10;2
ko:K08194;0;0;2;0;1;4;0;0
ko:K08195;0;0;0;8;2;0;4;0
ko:K08196;0;0;2;0;3;0;0;0
ko:K08217;4;2;0;0;4;9;4;1
ko:K08218;19;31;11;35;15;7;7;7
ko:K08219;0;0;0;0;0;0;0;0
ko:K08221;2;0;0;0;3;0;1;0
ko:K08222;0;0;0;0;0;0;0;0
ko:K08223;27;5;8;8;10;3;0;0
ko:K08224;0;0;0;0;3;3;0;1
ko:K08225;5;2;0;2;4;2;0;2
ko:K08226;0;0;0;0;2;0;0;1
ko:K08227;0;0;0;0;0;0;0;0
ko:K08234;36;14;15;22;13;13;2;4
ko:K08252;204;104;61;116;31;24;10;20
ko:K08253;90;40;26;15;3;2;12;8
ko:K08256;29;13;3;8;2;4;0;2
ko:K08259;92;219;13;19;9;4;1;0
ko:K08261;17;11;3;3;4;0;1;1
ko:K08279;0;0;1;0;0;0;0;0
ko:K08280;0;0;0;1;0;0;0;0
ko:K08281;35;29;12;7;10;13;6;1
ko:K08282;87;58;80;128;25;13;15;14
ko:K08289;16;7;5;9;5;0;0;1
ko:K08295;36;20;9;17;14;0;2;0
ko:K08296;67;54;28;21;5;11;0;4
ko:K08297;3;1;0;2;0;0;0;1
ko:K08298;0;0;0;0;0;0;0;0
ko:K08299;10;6;2;2;1;0;0;0
ko:K08300;237;238;143;185;166;67;52;39
ko:K08301;222;219;147;164;98;60;63;33
ko:K08302;4;2;0;0;1;0;2;0
ko:K08303;12;6;4;18;35;7;4;2
ko:K08304;16;18;3;15;10;2;3;2
ko:K08305;38;38;8;23;8;7;4;0
ko:K08306;0;0;9;14;0;0;0;0
ko:K08307;163;169;84;163;61;35;44;23
ko:K08308;0;0;9;12;0;0;0;0
ko:K08309;125;190;118;217;30;19;25;15
ko:K08310;8;15;2;5;0;0;2;0
ko:K08311;23;15;16;24;13;11;11;8
ko:K08312;3;0;0;3;1;0;0;0
ko:K08313;0;0;0;0;1;0;0;0
ko:K08314;2;3;4;11;5;6;0;0
ko:K08315;0;0;0;0;0;0;0;0
ko:K08316;24;20;9;15;8;0;4;3
ko:K08318;0;0;0;0;2;0;0;0
ko:K08319;2;5;0;3;4;6;4;3
ko:K08320;0;0;0;0;0;0;0;0
ko:K08321;7;16;8;9;0;2;0;0
ko:K08322;17;7;11;4;0;4;0;0
ko:K08323;36;25;23;22;18;11;4;5
ko:K08324;0;0;4;3;0;0;0;0
ko:K08325;4;0;0;0;2;0;1;2
ko:K08326;3;1;3;5;0;0;0;0
ko:K08344;2;9;5;7;2;2;0;0
ko:K08348;0;0;0;0;0;0;0;0
ko:K08351;6;4;6;3;2;0;2;3
ko:K08352;3;6;4;0;2;4;7;2
ko:K08354;0;0;0;0;1;1;0;0
ko:K08355;22;8;9;8;0;0;0;0
ko:K08356;48;76;0;0;5;1;3;3
ko:K08357;2;2;0;17;0;0;0;0
ko:K08358;0;0;0;2;0;0;0;0
ko:K08363;9;16;6;24;0;1;0;0
ko:K08364;22;30;13;13;8;0;3;0
ko:K08365;53;50;24;30;0;0;0;0
ko:K08368;1;1;2;0;2;7;4;0
ko:K08369;38;27;11;7;4;20;4;0
ko:K08372;102;63;50;56;19;27;14;8
ko:K08384;10;12;11;15;2;2;0;0
ko:K08475;0;0;2;2;0;0;0;0
ko:K08476;0;0;0;0;0;0;0;0
ko:K08477;0;0;0;0;0;0;0;0
ko:K08479;0;0;0;0;0;0;0;0
ko:K08481;4;4;12;1;3;3;0;0
ko:K08482;163;163;73;110;54;75;69;45
ko:K08483;86;89;80;102;51;44;26;22
ko:K08484;13;19;9;12;7;15;10;6
ko:K08485;4;0;2;0;1;0;0;0
ko:K08566;0;0;0;0;0;0;0;0
ko:K08587;0;0;0;0;0;0;0;0
ko:K08589;0;1;4;3;6;0;0;0
ko:K08591;87;27;25;36;12;0;4;0
ko:K08599;0;0;0;0;0;0;0;0
ko:K08600;0;0;0;0;0;0;0;0
ko:K08602;146;99;101;102;41;11;18;7
ko:K08603;97;250;0;6;0;1;2;0
ko:K08604;90;65;14;61;15;17;1;4
ko:K08605;3;0;2;0;1;0;2;0
ko:K08640;29;21;2;6;0;0;0;0
ko:K08641;26;20;15;17;4;0;0;1
ko:K08642;6;8;0;1;2;2;0;0
ko:K08643;0;12;0;2;0;0;0;0
ko:K08646;0;0;0;0;4;1;3;1
ko:K08651;302;318;101;139;15;10;11;10
ko:K08652;10;6;0;2;0;2;1;0
ko:K08659;0;0;0;0;0;0;0;0
ko:K08675;0;0;0;0;0;0;0;0
ko:K08676;33;24;17;51;25;20;13;20
ko:K08677;21;8;4;0;0;0;0;0
ko:K08678;126;127;53;110;59;82;34;20
ko:K08679;45;49;42;53;18;12;3;1
ko:K08680;6;5;5;3;1;2;0;1
ko:K08681;52;28;14;11;3;4;8;3
ko:K08682;0;0;0;0;0;0;0;0
ko:K08685;2;9;59;131;32;16;32;11
ko:K08687;0;0;0;0;0;0;2;0
ko:K08688;8;2;0;2;0;2;0;0
ko:K08689;0;0;2;0;0;0;1;0
ko:K08691;74;30;8;8;5;8;7;3
ko:K08692;2;2;6;9;0;1;1;0
ko:K08693;41;22;1;1;0;0;0;0
ko:K08696;2;0;0;0;0;0;0;0
ko:K08697;0;0;3;6;0;0;2;2
ko:K08698;4;2;0;0;3;1;2;0
ko:K08699;1;0;2;0;0;0;0;0
ko:K08700;0;0;0;0;0;0;0;0
ko:K08713;0;0;0;0;0;0;0;0
ko:K08714;10;2;3;0;0;0;1;0
ko:K08715;0;0;1;9;0;0;0;0
ko:K08717;15;4;6;3;26;43;64;17
ko:K08720;302;172;59;72;129;16;14;3
ko:K08722;0;0;0;0;0;0;0;0
ko:K08723;3;0;1;3;0;4;1;0
ko:K08724;0;0;0;0;0;0;0;0
ko:K08728;3;2;4;2;0;0;0;0
ko:K08738;229;120;101;145;203;63;33;16
ko:K08744;35;33;28;33;15;8;4;7
ko:K08765;0;0;2;0;0;0;0;1
ko:K08776;48;67;21;31;17;29;30;17
ko:K08777;6;7;0;1;0;0;0;0
ko:K08838;0;4;0;0;0;0;0;0
ko:K08851;0;0;0;0;0;2;0;0
ko:K08884;841;842;974;1278;2186;2203;4080;2269
ko:K08900;0;0;0;2;0;0;0;0
ko:K08902;0;0;0;0;0;0;0;0
ko:K08904;0;0;0;0;0;0;0;0
ko:K08906;0;1;22;25;2;0;0;0
ko:K08926;0;0;0;2;0;0;0;0
ko:K08927;0;0;4;0;0;0;0;0
ko:K08928;0;0;0;0;2;2;0;0
ko:K08929;0;0;0;0;1;0;0;0
ko:K08930;0;2;2;13;0;0;0;0
