ko;RNA_PA_A_T1_insitu;RNA_PA_A_T1_plant;RNA_PA_A_T3_insitu;RNA_PA_A_T3_plant;RNA_SG_A_T1_insitu;RNA_SG_A_T1_plant;RNA_SG_A_T3_insitu;RNA_SG_A_T3_plant
ko:K00270;0;0;0;0;0;0;0;0
ko:K00271;17;13;7;6;5;5;2;4
ko:K00273;16;12;2;10;1;2;0;0
ko:K00274;53;24;17;28;13;15;7;4
ko:K00275;47;33;39;31;27;12;10;6
ko:K00276;57;26;15;10;19;8;8;13
ko:K00278;115;102;162;141;136;128;82;49
ko:K00279;0;4;0;0;0;0;0;0
ko:K00281;211;207;147;239;91;65;32;25
ko:K00282;206;143;12;23;38;18;14;7
ko:K00283;281;232;135;180;64;55;28;26
ko:K00284;322;226;253;479;249;204;154;78
ko:K00285;22;39;18;28;49;11;2;9
ko:K00286;110;66;17;40;11;10;12;6
ko:K00287;9;4;2;15;20;2;0;4
ko:K00288;0;0;0;0;0;0;0;0
ko:K00290;21;26;4;17;19;7;5;5
ko:K00293;0;0;0;2;2;0;0;0
ko:K00294;184;115;66;138;61;45;40;28
ko:K00297;420;233;134;108;43;48;12;14
ko:K00299;18;16;4;10;5;6;1;0
ko:K00301;34;17;17;11;2;3;0;1
ko:K00302;527;281;53;39;22;13;5;4
ko:K00303;335;183;36;46;19;7;6;5
ko:K00304;51;35;6;1;1;2;0;0
ko:K00305;75;38;0;1;4;2;0;0
ko:K00311;190;186;75;119;77;36;11;23
ko:K00313;23;4;9;0;3;6;11;0
ko:K00314;5;0;8;3;4;2;0;0
ko:K00315;108;70;18;18;6;1;0;1
ko:K00316;0;0;14;28;0;0;0;1
ko:K00317;97;37;8;5;2;0;2;0
ko:K00318;76;59;17;17;35;25;29;14
ko:K00320;20;13;4;2;0;2;1;2
ko:K00322;12;5;3;15;16;12;16;12
ko:K00324;320;276;51;91;103;37;22;26
ko:K00325;224;160;55;57;89;28;20;22
ko:K00329;162;81;36;48;20;12;6;5
ko:K00330;213;139;67;85;42;33;29;26
ko:K00331;445;311;178;200;116;75;85;63
ko:K00332;189;222;126;137;79;30;24;17
ko:K00333;717;474;203;270;258;159;133;71
ko:K00334;226;265;86;140;50;37;26;15
ko:K00335;564;427;160;225;162;119;79;55
ko:K00336;782;519;222;286;189;104;93;54
ko:K00337;469;263;182;280;158;121;80;43
ko:K00338;261;199;89;112;102;74;44;40
ko:K00339;159;100;62;95;56;31;16;28
ko:K00340;44;46;38;27;19;9;10;7
ko:K00341;535;328;185;244;184;120;85;79
ko:K00342;394;256;170;208;114;68;56;45
ko:K00343;365;264;148;200;93;49;49;25
ko:K00344;206;121;65;121;104;48;44;31
ko:K00346;7;5;1;2;1;0;0;0
ko:K00347;18;14;23;29;3;3;2;1
ko:K00348;5;2;0;0;0;0;0;0
ko:K00349;0;0;0;0;0;0;0;0
ko:K00350;0;2;0;1;0;0;0;0
ko:K00351;7;3;0;0;2;0;0;0
ko:K00354;0;0;0;0;2;0;0;0
ko:K00355;0;0;0;0;2;1;0;0
ko:K00356;163;82;34;42;18;8;8;7
ko:K00360;5;2;1;6;0;2;13;4
ko:K00362;48;30;13;19;8;25;33;25
ko:K00363;30;16;7;11;3;1;4;2
ko:K00364;12;16;14;14;12;13;6;12
ko:K00365;8;8;4;2;7;7;5;1
ko:K00366;326;185;142;116;29;74;35;22
ko:K00367;2;0;0;0;3;2;3;3
ko:K00368;727;333;262;601;503;59;101;44
ko:K00370;2;2;78;195;669;75;203;50
ko:K00371;2;0;60;216;314;32;152;26
ko:K00372;9;4;3;15;32;26;28;22
ko:K00373;0;0;23;44;58;10;78;9
ko:K00374;0;0;0;0;69;0;0;0
ko:K00375;29;23;9;10;15;5;3;0
ko:K00376;33;19;7;7;840;3;7;7
ko:K00380;108;114;10;19;116;11;4;7
ko:K00381;393;293;161;319;88;46;31;24
ko:K00382;1299;719;323;437;346;241;154;106
ko:K00383;61;62;24;36;24;7;11;3
ko:K00384;1296;861;336;513;193;150;98;76
ko:K00387;50;33;2;7;7;6;3;4
ko:K00389;4;4;3;1;0;2;0;1
ko:K00390;197;145;81;145;44;39;32;11
ko:K00392;200;128;196;303;136;119;96;42
ko:K00394;0;0;0;1;1;7;8;6
ko:K00395;0;0;0;0;2;5;4;14
ko:K00404;20;11;12;24;208;9;3;13
ko:K00405;11;4;16;35;87;26;11;12
ko:K00406;12;7;7;18;95;8;12;17
ko:K00407;0;0;0;0;9;0;0;0
ko:K00410;26;8;11;8;50;11;59;42
ko:K00411;61;93;20;57;62;30;26;14
ko:K00412;155;131;107;142;212;75;100;70
ko:K00413;34;51;26;35;58;13;18;4
ko:K00422;4;2;0;0;0;0;0;0
ko:K00423;28;13;0;3;0;0;0;0
ko:K00424;0;0;0;0;0;0;0;0
ko:K00425;182;88;43;35;54;37;28;9
ko:K00426;9;23;9;7;20;2;1;2
ko:K00427;0;0;0;0;6;2;0;0
ko:K00428;127;98;121;223;106;54;30;12
ko:K00432;19;22;22;23;22;17;15;6
ko:K00433;27;9;19;23;37;44;25;12
ko:K00435;17;10;2;6;2;1;0;0
ko:K00436;2;3;0;0;0;0;0;0
ko:K00437;0;0;0;0;0;0;0;0
ko:K00441;75;16;14;23;1;1;2;0
ko:K00446;11;3;15;13;11;4;3;5
ko:K00448;4;0;0;0;1;1;3;3
ko:K00449;15;9;13;28;32;19;4;12
ko:K00450;14;3;3;8;12;8;8;4
ko:K00451;63;61;26;31;66;27;19;13
ko:K00452;22;16;0;2;3;1;2;0
ko:K00453;39;59;12;18;11;4;5;5
ko:K00455;0;7;3;2;4;1;2;0
ko:K00456;2;2;0;8;0;2;2;0
ko:K00457;97;147;37;67;110;44;47;22
ko:K00459;54;40;20;36;95;51;28;8
ko:K00461;0;0;0;0;0;0;0;0
ko:K00462;2;2;2;0;0;0;0;0
ko:K00463;0;0;0;0;1;2;1;2
ko:K00464;4;5;0;0;2;0;1;0
ko:K00466;1;0;0;2;0;2;0;0
ko:K00467;7;5;8;15;0;3;1;0
ko:K00469;9;4;20;29;0;4;4;1
ko:K00471;30;10;0;4;1;0;0;0
ko:K00472;17;17;9;21;9;5;4;0
ko:K00476;0;1;0;0;2;2;2;2
ko:K00477;44;22;30;26;18;0;0;0
ko:K00479;144;66;16;32;24;6;10;4
ko:K00480;1;2;8;8;6;10;6;8
ko:K00481;10;6;12;9;14;7;4;3
ko:K00483;20;8;18;29;6;4;7;3
ko:K00484;1;2;0;0;4;0;0;0
ko:K00485;2;0;0;0;0;0;0;0
ko:K00486;8;5;0;8;4;0;4;0
ko:K00491;104;34;7;6;5;14;4;0
ko:K00493;15;5;4;2;4;17;10;7
ko:K00494;0;0;0;0;0;0;0;0
ko:K00496;3;0;10;16;3;2;1;0
ko:K00499;54;38;28;37;36;10;11;7
ko:K00500;51;101;18;29;12;7;8;5
ko:K00504;8;2;2;2;0;0;0;0
ko:K00505;85;31;79;73;28;10;7;0
ko:K00507;131;142;116;191;96;52;55;41
ko:K00508;35;11;121;90;38;38;25;5
ko:K00511;0;0;0;0;1;0;0;0
ko:K00514;1;0;2;0;0;0;0;0
ko:K00518;128;78;28;26;50;119;139;58
ko:K00520;306;162;54;84;2;3;0;2
ko:K00523;10;18;50;84;9;4;4;12
ko:K00524;2;0;0;1;0;0;0;0
ko:K00525;1006;787;596;1019;677;434;277;224
ko:K00526;60;117;70;113;128;45;20;41
ko:K00527;0;0;0;0;0;0;0;0
ko:K00528;65;55;52;78;28;18;11;18
ko:K00529;23;5;170;220;9;5;7;5
ko:K00533;0;0;0;0;0;0;0;0
ko:K00537;6;14;7;11;3;1;11;4
ko:K00543;17;2;4;21;4;0;0;0
ko:K00544;175;98;11;15;7;2;7;4
ko:K00545;0;0;0;0;0;0;0;0
ko:K00547;93;60;76;38;7;16;7;8
ko:K00548;761;469;264;242;160;138;97;44
ko:K00549;143;112;64;57;34;41;43;19
ko:K00554;73;75;79;94;60;37;22;18
ko:K00555;0;0;0;0;0;0;0;0
ko:K00556;14;8;4;6;2;0;0;1
ko:K00557;8;0;4;3;0;2;0;0
ko:K00558;66;70;55;70;0;4;1;0
ko:K00559;0;0;0;0;0;0;0;0
ko:K00560;29;55;16;32;18;19;4;6
ko:K00561;6;4;3;0;0;0;0;0
ko:K00562;0;0;0;0;0;0;0;0
ko:K00563;19;12;1;5;3;2;2;0
ko:K00564;20;6;19;22;3;1;0;2
ko:K00566;156;92;58;86;40;24;12;12
ko:K00567;38;24;29;54;12;19;2;5
ko:K00568;78;47;43;37;19;11;19;15
ko:K00569;2;13;4;0;0;0;0;0
ko:K00570;5;4;21;41;16;11;5;8
ko:K00571;68;56;49;87;15;15;15;7
ko:K00573;95;112;71;96;36;22;11;6
ko:K00574;157;150;95;199;56;28;25;10
ko:K00575;91;120;65;89;55;54;26;18
ko:K00577;1;0;0;0;0;0;0;0
ko:K00587;0;0;0;0;0;0;0;0
ko:K00588;17;13;9;15;1;2;1;1
ko:K00590;33;15;66;92;7;7;10;7
ko:K00594;4;4;4;2;4;10;4;2
ko:K00595;23;12;2;7;9;4;4;0
ko:K00596;2;2;6;1;0;2;1;0
ko:K00598;26;5;4;11;2;3;2;2
ko:K00600;340;249;149;258;159;113;88;73
ko:K00602;164;138;47;82;44;33;20;10
ko:K00603;17;10;16;13;0;2;4;0
ko:K00604;100;50;38;42;25;10;12;4
ko:K00605;744;432;154;215;50;52;44;26
ko:K00606;148;97;152;132;52;41;34;16
ko:K00608;0;2;0;0;0;0;0;0
ko:K00609;117;82;43;53;33;19;15;11
ko:K00610;0;0;0;0;0;0;0;0
ko:K00611;138;96;53;71;47;35;10;10
ko:K00612;145;81;50;57;31;29;38;10
ko:K00613;0;0;0;2;1;0;4;1
ko:K00615;1030;703;240;378;256;272;157;116
ko:K00616;427;276;129;179;124;186;180;50
ko:K00619;25;12;18;14;9;4;10;4
ko:K00620;62;61;47;71;23;24;16;13
ko:K00621;0;0;6;1;2;3;1;0
ko:K00622;0;0;0;0;0;0;0;0
ko:K00624;0;0;2;0;0;0;0;1
ko:K00625;26;16;15;23;20;15;16;5
ko:K00626;1028;699;438;572;643;369;284;190
ko:K00627;511;475;201;349;129;112;53;33
ko:K00631;49;55;23;38;3;1;7;4
ko:K00632;447;331;147;153;167;93;67;49
ko:K00633;15;2;24;23;0;1;1;0
ko:K00634;3;2;2;0;8;5;4;3
ko:K00635;11;13;10;11;8;9;5;1
ko:K00638;0;0;0;0;0;0;0;0
ko:K00639;123;141;74;110;56;22;20;19
ko:K00640;69;59;46;64;42;21;19;12
ko:K00641;116;67;16;29;62;20;14;13
ko:K00643;26;16;40;44;68;18;12;19
ko:K00645;351;245;86;100;52;44;28;16
ko:K00646;71;95;13;37;67;15;7;5
ko:K00647;58;48;11;24;32;16;4;5
ko:K00648;371;257;190;212;107;49;48;37
ko:K00650;2;0;2;0;1;2;0;1
ko:K00651;0;2;0;0;0;0;0;0
ko:K00652;280;296;56;67;31;12;12;11
ko:K00654;1;2;4;2;0;1;1;2
ko:K00655;211;145;70;137;31;35;21;14
ko:K00656;0;0;0;0;46;22;8;12
ko:K00657;15;9;0;1;5;3;0;1
ko:K00658;363;343;198;290;157;114;67;37
ko:K00661;35;27;16;14;1;6;3;8
ko:K00662;17;2;16;25;3;0;0;0
ko:K00663;156;64;4;7;7;2;0;1
ko:K00666;467;341;155;196;184;125;79;73
ko:K00670;0;0;0;0;0;0;0;0
ko:K00672;3;0;0;2;1;0;0;0
ko:K00673;6;14;3;22;15;5;1;0
ko:K00674;72;65;12;40;21;21;11;16
ko:K00675;2;0;0;6;7;1;0;0
ko:K00677;58;62;26;44;29;23;18;3
ko:K00681;413;267;228;342;150;73;56;29
ko:K00683;5;2;7;3;2;0;0;0
ko:K00684;24;18;13;24;6;2;5;2
ko:K00688;241;151;154;238;109;119;66;37
ko:K00689;4;0;10;5;2;0;0;0
ko:K00690;8;0;5;1;1;1;2;0
ko:K00691;14;8;17;17;22;9;3;0
ko:K00692;2;0;2;2;0;3;0;0
ko:K00693;4;0;2;8;9;12;6;1
ko:K00694;13;30;29;29;17;17;10;9
ko:K00695;0;0;1;1;3;0;0;0
ko:K00696;31;18;6;17;4;2;6;0
ko:K00697;167;140;50;65;34;46;32;17
ko:K00700;273;338;112;217;104;135;125;55
ko:K00701;10;28;1;4;0;0;2;0
ko:K00702;10;8;2;3;6;5;0;3
ko:K00703;79;62;71;133;49;52;39;23
ko:K00705;170;122;62;79;65;72;61;25
ko:K00712;0;0;6;24;0;1;0;0
ko:K00713;5;5;0;4;0;0;0;0
ko:K00720;2;4;8;3;3;0;10;4
ko:K00721;137;105;35;55;18;24;13;16
ko:K00728;144;58;19;21;4;14;8;2
ko:K00737;0;0;0;1;3;2;0;0
ko:K00743;0;0;0;2;1;0;0;0
ko:K00745;0;0;0;0;0;0;0;0
ko:K00748;40;29;20;35;2;3;2;5
ko:K00752;6;6;8;34;4;2;5;5
ko:K00754;44;27;13;32;10;15;4;0
ko:K00756;53;16;58;59;11;17;10;5
ko:K00757;11;7;2;4;0;0;0;0
ko:K00758;28;21;24;11;10;5;4;3
ko:K00759;99;36;46;75;14;6;17;3
ko:K00760;481;694;309;626;17;21;17;11
ko:K00761;54;21;20;32;24;22;8;7
ko:K00762;75;63;34;58;27;19;16;11
ko:K00763;117;61;19;28;9;22;4;7
ko:K00764;223;139;140;158;100;99;81;44
ko:K00765;104;61;52;52;36;25;29;20
ko:K00766;118;97;44;56;18;16;13;3
ko:K00767;60;77;29;54;27;14;18;5
ko:K00768;39;19;12;10;12;9;8;1
ko:K00769;7;5;4;2;3;4;0;0
ko:K00771;0;0;0;0;0;0;0;0
ko:K00772;90;69;18;39;13;13;18;12
ko:K00773;57;61;38;60;9;13;5;10
ko:K00782;40;22;4;6;7;2;3;0
ko:K00783;14;4;5;7;5;3;4;1
ko:K00784;75;49;35;34;10;14;8;5
ko:K00786;58;54;12;33;17;8;2;1
ko:K00788;56;57;20;43;17;8;2;0
ko:K00789;596;587;231;347;269;169;136;88
ko:K00790;310;221;97;114;80;47;32;39
ko:K00791;34;30;21;42;10;1;5;1
ko:K00793;99;54;47;26;30;11;21;11
ko:K00794;89;71;18;52;22;20;33;21
ko:K00795;28;17;8;18;16;2;1;3
ko:K00796;75;51;26;30;12;8;7;3
ko:K00797;80;103;97;140;27;13;21;13
ko:K00798;80;61;20;38;10;4;7;2
ko:K00799;195;305;74;194;142;64;58;53
ko:K00800;121;58;50;71;29;13;11;11
ko:K00801;9;4;5;6;1;0;0;0
ko:K00802;0;0;0;0;0;0;0;0
ko:K00803;62;47;16;15;13;3;18;5
ko:K00805;29;26;15;13;1;4;5;3
ko:K00806;131;103;75;114;21;22;17;8
ko:K00808;8;0;18;26;16;5;1;0
ko:K00809;35;46;26;31;71;46;38;27
ko:K00812;150;100;94;134;85;63;68;27
ko:K00813;2;3;0;0;1;0;1;0
ko:K00814;0;0;0;0;0;0;0;0
ko:K00817;183;134;221;504;43;32;51;14
ko:K00819;53;23;34;54;20;27;5;9
ko:K00820;436;373;133;223;109;100;94;67
ko:K00821;157;99;75;99;70;47;32;28
ko:K00822;55;38;34;50;122;15;12;17
ko:K00823;137;81;80;136;30;20;15;19
ko:K00824;11;19;3;17;20;4;4;3
ko:K00826;386;260;161;247;137;86;69;69
ko:K00830;129;81;51;79;22;20;12;4
ko:K00831;60;49;59;79;49;24;38;14
ko:K00832;12;36;14;30;49;3;8;10
ko:K00833;33;45;13;13;15;5;6;1
ko:K00835;3;0;6;0;0;0;0;0
ko:K00836;10;18;62;46;7;4;0;4
ko:K00839;0;5;1;0;3;4;3;0
ko:K00840;11;11;0;2;17;0;0;6
ko:K00841;0;1;2;4;0;0;0;0
ko:K00842;3;11;0;1;4;4;1;2
ko:K00844;0;0;0;0;0;0;0;0
ko:K00845;220;159;71;89;50;53;26;27
ko:K00846;0;2;0;4;0;0;0;0
ko:K00847;96;33;34;70;18;15;20;7
ko:K00848;55;27;28;25;18;11;16;5
ko:K00849;47;33;45;59;8;8;15;3
ko:K00850;68;31;38;33;28;14;20;12
ko:K00851;65;34;39;31;23;9;15;2
ko:K00852;130;49;69;86;16;6;6;3
ko:K00853;8;4;26;16;6;9;9;8
ko:K00854;225;108;72;83;35;33;21;7
ko:K00855;295;251;38;31;9;13;5;6
ko:K00856;64;29;37;26;17;21;5;5
ko:K00857;60;33;40;28;11;3;6;6
ko:K00858;59;42;37;44;19;33;22;20
ko:K00859;44;30;41;25;12;10;8;0
ko:K00860;135;136;18;20;9;10;2;1
ko:K00862;9;0;0;0;12;5;6;0
ko:K00863;17;1;5;12;24;26;9;2
ko:K00864;281;145;107;128;92;138;58;26
ko:K00865;30;10;9;13;6;10;4;2
ko:K00867;9;4;6;26;4;4;4;2
ko:K00868;5;5;4;15;4;2;4;1
ko:K00869;18;9;5;20;2;2;0;2
ko:K00870;14;1;8;10;2;0;0;2
ko:K00872;38;14;20;27;10;11;4;0
ko:K00873;286;251;114;136;76;64;42;49
ko:K00874;37;22;35;49;28;26;17;5
ko:K00875;4;0;1;2;2;0;0;0
ko:K00876;54;58;31;51;8;10;2;5
ko:K00878;12;7;3;0;0;5;0;0
ko:K00879;4;8;1;2;0;0;0;0
ko:K00880;49;28;0;8;0;0;0;0
ko:K00881;0;0;0;0;0;0;0;0
